wave,n_stops,listed,best_known,SA_mean,SA_std,SA_best,SA_sec,GA_mean,GA_std,GA_best,GA_sec
33175,8,3768.0,2534.0,2534.0,0.0,2534.0,0.1293977054999838,2534.0,0.0,2534.0,0.3823638358666661
33188,11,1960.0,1960.0,1960.0,0.0,1960.0,0.14162678863334197,1960.0,0.0,1960.0,0.3959742259333325
33189,11,2470.0,2470.0,2470.0,0.0,2470.0,0.14988039216665736,2470.0,0.0,2470.0,0.3795721100333443
33191,8,3508.0,3060.0,3060.0,0.0,3060.0,0.07005671260000478,3060.0,0.0,3060.0,0.20324919686666665
33195,11,4192.0,3268.0,3268.0,0.0,3268.0,0.10123727693332209,3273.6,30.15692291995323,3268.0,0.16209690373334523
33197,11,4438.0,3184.0,3184.0,0.0,3184.0,0.0823640899666619,3184.0,0.0,3184.0,0.23993556116665787
33198,9,2626.0,2492.0,2492.0,0.0,2492.0,0.0735690385666506,2492.0,0.0,2492.0,0.14891685009997674
33199,11,3304.0,2788.0,2788.0,0.0,2788.0,0.13093219826669156,2788.0,0.0,2788.0,0.2087650010666645
33172,12,4024.0,3536.0,3576.8,57.4191605650936,3536.0,0.08145928633333217,3552.5333333333333,41.372884303074095,3536.0,0.1775217880666787
33178,13,3552.0,3068.0,3068.0,0.0,3068.0,0.1484711210333444,3093.8,99.73077091182375,3068.0,0.17147740223332827
33180,12,3916.0,3132.0,3132.0,0.0,3132.0,0.08846971643333745,3158.3333333333335,75.56380673899963,3132.0,0.24097900286666724
33184,15,5190.0,4208.0,4236.666666666667,40.54078878802872,4208.0,0.09077960406666534,4247.733333333334,50.91360874614522,4208.0,0.18410913383331717
33185,15,4426.0,3860.0,3927.4,102.99145595630736,3860.0,0.13099890049998067,3923.3333333333335,129.66143948332862,3860.0,0.21650194956664565
33186,14,4100.0,3046.0,3046.0,0.0,3046.0,0.08815829493332786,3070.0,39.7994974842648,3046.0,0.21730512546664613
33190,14,4192.0,3248.0,3259.733333333333,10.975528334536897,3248.0,0.114667531999991,3264.6666666666665,45.56411843642856,3248.0,0.20387500220000826
33192,15,5790.0,4486.0,4487.4,2.537715508089904,4486.0,0.10380635856666534,4498.2,32.58772775140974,4486.0,0.24364225603330852
33170,17,5004.0,3332.0,3332.0,0.0,3332.0,0.09906323983335218,3431.4666666666667,121.11694991022335,3332.0,0.24019060480001522
33171,16,3996.0,2402.0,2402.0,0.0,2402.0,0.11772052253333337,2452.9333333333334,157.71259373373528,2402.0,0.18022426493331903
33182,19,7050.0,4686.0,4730.4,88.79999999999998,4686.0,0.11408848199998829,4743.8,132.13866454095358,4686.0,0.289427226200011
33183,17,6224.0,4666.0,4713.4,72.40469598030226,4666.0,0.09820248106664925,4717.333333333333,86.49829799224696,4666.0,0.2648506216666647
33187,18,5872.0,4252.0,4325.066666666667,103.06338933987287,4252.0,0.1033887481333295,4381.4,153.23546151810507,4252.0,0.1969093530333339
33193,17,4998.0,3898.0,3904.0,18.0,3898.0,0.20144031266666693,3947.6,42.33957959167758,3898.0,0.1901393348000056
33202,17,5860.0,4182.0,4191.6,24.47529366524537,4182.0,0.09519238450002376,4262.8,90.30112586968855,4182.0,0.26090228283331574
33203,19,4672.0,3408.0,3408.0,0.0,3408.0,0.1035982243000035,3454.4666666666667,68.74044580077211,3408.0,0.25715773393333924
33168,21,6872.0,4450.0,4468.8,37.6,4450.0,0.14201992100000402,4561.4,72.16120841560235,4450.0,0.20233935066665557
33169,20,3322.0,3290.0,3290.0,0.0,3290.0,0.1350506902333412,3309.4,58.19999999999999,3290.0,0.23577633216667285
33181,21,5122.0,3956.0,3967.866666666667,44.401000989717446,3956.0,0.10586242593335556,4021.0666666666666,148.27967568828245,3956.0,0.27220418549998915
33194,23,4846.0,4094.0,4096.0,7.483314773547883,4094.0,0.11408860923332516,4248.333333333333,130.80579327979152,4094.0,0.22271121240000866
33204,21,4826.0,3738.0,3774.266666666667,31.71427999427948,3738.0,0.1683215342666699,3822.6666666666665,67.22565647793176,3738.0,0.20244330646667852
33237,21,4198.0,3302.0,3302.0,0.0,3302.0,0.12955430429998765,3331.733333333333,74.93772229139486,3302.0,0.25400364963334143
33243,20,4878.0,3844.0,3844.0,0.0,3844.0,0.10938369313334988,3957.2,75.55766010140866,3844.0,0.2659720629999962
33246,23,5714.0,4072.0,4072.266666666667,1.4360439485692007,4072.0,0.11469303266667338,4180.333333333333,102.28076825853215,4072.0,0.21748459249999239
