wave,n_stops,listed,best_known,SA_mean,SA_std,SA_best,SA_sec,GA_mean,GA_std,GA_best,GA_sec
33175,8,3768.0,2534.0,2534.0,0.0,2534.0,0.10533997606667071,2534.0,0.0,2534.0,0.28345467753333653
33188,11,1960.0,1960.0,1960.0,0.0,1960.0,0.07956917853333229,1960.0,0.0,1960.0,0.20655324009999276
33189,11,2470.0,2470.0,2470.0,0.0,2470.0,0.14376504390000566,2470.0,0.0,2470.0,0.1682625551000001
33191,8,3508.0,3060.0,3060.0,0.0,3060.0,0.15540763776666608,3060.0,0.0,3060.0,0.3225308940333283
33195,11,4192.0,3268.0,3268.0,0.0,3268.0,0.07866891093334137,3273.6,30.15692291995323,3268.0,0.5516515740666667
33197,11,4438.0,3184.0,3184.0,0.0,3184.0,0.3334629423333354,3184.0,0.0,3184.0,0.45420839903332916
33198,9,2626.0,2492.0,2492.0,0.0,2492.0,0.1431414501333317,2492.0,0.0,2492.0,0.19513833406666284
33199,11,3304.0,2788.0,2788.0,0.0,2788.0,0.13621984110000085,2788.0,0.0,2788.0,0.1688305234999916
33172,12,4024.0,3536.0,3548.133333333333,32.27355298417301,3536.0,0.07825288503333165,3552.5333333333333,41.372884303074095,3536.0,0.19172818420000415
33178,13,3552.0,3068.0,3074.4666666666667,34.824065752803115,3068.0,0.12318171609999809,3093.8,99.73077091182375,3068.0,0.15690357423333504
33180,12,3916.0,3132.0,3132.0,0.0,3132.0,0.08348311993333178,3158.3333333333335,75.56380673899963,3132.0,0.23192965349999212
33184,15,5190.0,4208.0,4233.266666666666,37.84347881589229,4208.0,0.09264489583333671,4247.733333333334,50.91360874614522,4208.0,0.18045921113333255
33185,15,4426.0,3860.0,3871.8,21.880585001320235,3860.0,0.12364825873332848,3923.3333333333335,129.66143948332862,3860.0,0.20825509316667498
33186,14,4100.0,3046.0,3052.5333333333333,17.783388003664793,3046.0,0.08626784936665596,3070.0,39.7994974842648,3046.0,0.19589095723332928
33190,14,4192.0,3248.0,3261.866666666667,21.65137922217017,3248.0,0.12738855093334678,3264.6666666666665,45.56411843642856,3248.0,0.16883884209999753
33192,15,5790.0,4486.0,4490.8,10.665833300778706,4486.0,0.10714419959999759,4498.2,32.58772775140974,4486.0,0.2772407720666555
33170,17,5004.0,3332.0,3426.133333333333,96.90260861068477,3332.0,0.1547250766666669,3431.4666666666667,121.11694991022335,3332.0,0.27817312686667417
33171,16,3996.0,2402.0,2415.0666666666666,27.576479511029365,2402.0,0.09538724216668015,2452.9333333333334,157.71259373373528,2402.0,0.17713382973332348
33182,19,7050.0,4686.0,4751.133333333333,108.10326338994375,4686.0,0.17147899819998808,4743.8,132.13866454095358,4686.0,0.19783703706666528
33183,17,6224.0,4666.0,4727.6,112.6710847259994,4666.0,0.100069651633324,4717.333333333333,86.49829799224696,4666.0,0.2551586595666625
33187,18,5872.0,4252.0,4347.066666666667,115.32300531791373,4252.0,0.10090113373333527,4381.4,153.23546151810507,4252.0,0.18832535149999785
33193,17,4998.0,3898.0,3944.0,25.37715508089904,3898.0,0.17258895473332814,3947.6,42.33957959167758,3898.0,0.1862787527000061
33202,17,5860.0,4182.0,4244.0,58.517233928704,4182.0,0.09555330166666257,4262.8,90.30112586968855,4182.0,0.25218963400000877
33203,19,4672.0,3408.0,3506.3333333333335,75.39068613267527,3408.0,0.10231457869999758,3454.4666666666667,68.74044580077211,3408.0,0.19323292033333625
33168,21,6872.0,4450.0,4602.066666666667,85.5826825681198,4450.0,0.17994784896667018,4561.4,72.16120841560235,4450.0,0.2011885508999967
33169,20,3322.0,3290.0,3337.0,65.12500799744032,3290.0,0.1054397871333246,3309.4,58.19999999999999,3290.0,0.2643850872666614
33181,21,5122.0,3956.0,4118.866666666667,158.82374577569382,3956.0,0.10990212856666706,4021.0666666666666,148.27967568828245,3956.0,0.2594456445333435
33194,23,4846.0,4094.0,4311.066666666667,129.11879112748161,4124.0,0.14167522669999927,4248.333333333333,130.80579327979152,4094.0,0.23012187246666446
33204,21,4826.0,3738.0,3861.4,117.50421269043932,3738.0,0.17457790186667807,3822.6666666666665,67.22565647793176,3738.0,0.19918956786667272
33237,21,4198.0,3302.0,3423.866666666667,135.19263622286863,3302.0,0.11064934253333074,3331.733333333333,74.93772229139486,3302.0,0.27248643286666263
33243,20,4878.0,3844.0,3939.6,95.6192449248581,3844.0,0.105847631000006,3957.2,75.55766010140866,3844.0,0.25956554640000223
33246,23,5714.0,4072.0,4286.066666666667,162.90077416090514,4080.0,0.12303261623333128,4180.333333333333,102.28076825853215,4072.0,0.21779147830000814
